time,open,high,low,close
2021-06-15T21:00:00-04:00,14028.75,14036,14023.75,14031.75
2021-06-15T22:00:00-04:00,14031.75,14034.5,14024.25,14028.5
2021-06-15T23:00:00-04:00,14028.5,14036.75,14025,14035.5
2021-06-16T00:00:00-04:00,14036,14039.5,14031,14035.5
2021-06-16T01:00:00-04:00,14035.75,14041.25,14028.5,14033.25
2021-06-16T02:00:00-04:00,14032.75,14044.5,14028.5,14039.75
2021-06-16T03:00:00-04:00,14040,14048.75,14030,14037.25
2021-06-16T04:00:00-04:00,14037,14038.75,14026.25,14037
2021-06-16T05:00:00-04:00,14037.25,14039.75,14024,14033.25
2021-06-16T06:00:00-04:00,14033.5,14046.75,14030.25,14034
2021-06-16T07:00:00-04:00,14034.5,14044,14029,14030.25
2021-06-16T08:00:00-04:00,14030.5,14044.75,14018.5,14044.5
2021-06-16T09:00:00-04:00,14044.25,14087.5,14040.5,14079.5
2021-06-16T10:00:00-04:00,14079.75,14095.75,14048.75,14060.25
2021-06-16T11:00:00-04:00,14060,14063,14023.75,14025.25
2021-06-16T12:00:00-04:00,14025.25,14029,13975.75,14016.5
2021-06-16T13:00:00-04:00,14017,14039.5,14004.75,14014.5
2021-06-16T14:00:00-04:00,14014,14014,13830.25,13916.5
2021-06-16T15:00:00-04:00,13916.75,14030.75,13907,13975.75
2021-06-16T16:00:00-04:00,13976,13983.75,13930.5,13930.75
2021-06-16T18:00:00-04:00,13941,13941,13914,13914.75
2021-06-16T19:00:00-04:00,13914.75,13919.5,13885,13886.5
2021-06-16T20:00:00-04:00,13887,13889.5,13841.75,13869.5
2021-06-16T21:00:00-04:00,13869.5,13901.25,13853.5,13897.25
2021-06-16T22:00:00-04:00,13897.25,13909.5,13890.75,13904
2021-06-16T23:00:00-04:00,13904.5,13909.25,13891.25,13902.75
2021-06-17T00:00:00-04:00,13903.25,13914,13896.25,13911
2021-06-17T01:00:00-04:00,13910,13924.25,13907.25,13910
